year,breed,dog,owner(s)
1984,Newfoundland,Ch. Seaward’s Blackbeard,"Seaward Kennels, Reg."
1985,Scottish Terrier,Ch. Braeburn’s Close Encounter,Sonnie & Alan Novick
1986,Pointer,Ch. Marjetta’s National Acclaim,Mrs. A. R. Robson & Michael Zollo
1987,German Shepherd Dog,Ch. Covy Tucker Hill’s Manhattan,S. Braunstein & J. Firestone
1988,Pomeranian,"Ch. Great Elms Prince Charming, II",Skip Piazza & Olga Baker
1989,Doberman Pinscher,Ch. Royal Tudor’s Wild As The Wind,"R. & C .Vida, B. Wilhite, A. & S. Korp"
1990,Pekingese,Ch. Wendessa Crown Prince,Edward B. Jenner
1991,Poodle (Standard),Ch. Whisperwind On A Carousel,Dr. & Mrs. Frederick Hartsock
1992,Wire Fox Terrier,Ch. Registry’s Lonesome Dove,Marion W. & Samuel B. Lawrence
1993,English Springer Spaniel,Ch. Salilyn’s Condor,"D. & R. Herzig, MD & J. Gasow"
1994,Norwich Terrier,Ch. Chidley Willum The Conqueror,Ruth Cooper & Patricia Lussier
1995,Scottish Terrier,Ch. Gaelforce Post Script,Dr. J. Kinnarney & Dr. V. Huber
1996,Clumber Spaniel,Ch. Clussexx Country Sunrise,Judith & Richard Zaleski
1997,Standard Schnauzer,Ch. Parsifal Di Casa Netzer,Rita Holloway & Gabrio Del Torre
1998,Norwich Terrier,Ch. Fairewood Frolic,Sandina Kennels
1999,Papillon,Ch. Loteki Supernatural Being,John Oulton
2000,English Springer Spaniel,Ch. Salilyn ‘N Erin’s Shameless,"C. Blain, F. Sunseri & J. Gasow"
2001,Bichon Frise,Ch. Special Times Just Right,"C. Ruggles, E. McDonald, F. Werneck"
2002,Poodle (Miniature),Ch. Surrey Spice Girl,Ron L. Scott & Barbara Scott
2003,Kerry Blue Terrier,Ch. Torums Scarf Michael,Marilu Hansen
2004,Newfoundland,Ch. Darbydale’s All Rise Pouch Cove,Peggy Helming & Carol Bernard Bergmann
2005,German Shorthaired Pointer,Ch. Kan-Point’s VJK Autumn Roses,L. & R. Stark & C. Cronk & V. Nunes-Atkinson
2006,Bull Terrier (Colored),Ch. Rocky Top’s Sundance Kid,Barbara Bishop & W. F. Poole & N. Shepherd & R. P. Pool & Dorothy Cherry
2007,English Springer Spaniel,Ch. Felicity’s Diamond Jim,Teresa Patton & Allen Patton & R. Dehmel & D. Hadsall
2008,Beagle (15 Inch),Ch. K-Run’s Park Me In First,Caroline Dowell & Eddie Dziuk & Jon Woodring & Kathy Weichert
2009,Sussex Spaniel,Ch. Clussexx Three D Grinchy Glee,Cecilia Ruggles & Beth Dowd & Scott Sommer
2010,Scottish Terrier,Ch. Roundtown Mercedes Of Maryscot,Amelia Musser
2011,Scottish Deerhound,GCH. Foxcliffe Hickory Wind,Sally Sweatt & Cecilia L. Dove & Dr. R. Scott Dove
2012,Pekingese,GCH. Palacegarden Malachy,Iris Love & S. Middlebrooks & D. Fitzpatrick
2013,Affenpinscher,GCH. Banana Joe V Tani Kazari,Zoila Truesdale & Mieke Cooymans
2014,Wire Fox Terrier,GCH. Afterall Painting The Sky,"Victor Malzoni, Jr. & Torie Steele & S. & M. Olund & D. Ryan"
2015,Beagle (15 Inch),Ch. Tashtins Lookin For Trouble,Eddie Dziuk & Lori Crandlemire & Kaitlyn Crandlemire
2016,German Shorthaired Pointer,GCH Vjk-Myst Garbonita’s California Journey,Valerie Nunes-Atkinson & Alice Manning & Yvonne Hassler-Deterding
2017,German Shepherd Dog,GCH Lockenhaus’ Rumor Has It V Kenlyn,Deborah Stern & Pamela Buckles & Patti Dukeman & Pamela McElheney & Kent Boyles
2018,Bichon Frise,GCHP  Belle Creek’s All I Care About Is Love,Patrina & Bruce Odette & Lindsay Van Keuren & Lorrie Carlton & Larry Letsche DVM
2019,Wire Fox Terrier,GCHB CH King Arthur Van Foliny Home,Victor Malzoni Jr
2020,Standard Poodle,GCHP CH Stone Run Afternoon Tea,Connie S Unger & William Lee
2021,Pekingese,GCHG CH Pequest Wasabi,Sandra Middlebrooks & Peggy Steinman & Iris Love & D Fitzpatrick
2022,Bloodhound,GCHB Flessner's Toot My Own Horn,Chris & Bryan Flessner & Heather Helmer & Tina Kocar 
2023,Petit Basset Griffon Vendeen,CH Soletrader Buddy Holly,Janice Hayes & Lizzie Cadmore & Cathy Oneill & Donna Moore
