,year,breed,dog,owner(s),group,BIS
58,1965,Boxer,Ch. Salgray’s Fashion Plate,Mr. & Mrs. Daniel Hamilburg,Working,False
59,1964,Boxer,Ch. Treceder’s Painted Lady,Donald & Mary Smith,Working,False
60,1963,Boxer,Ch. Treceder’s Painted Lady,Donald & Mary Smith,Working,False
61,1962,Great Dane,Ch. Honey Bun of Marydane,Erna Huber,Working,False
62,1961,Boxer,Ch. Marquam’s Hill’s Comanche,Dr. & Mrs. Robert W. Burke,Working,False
63,1960,Pembroke Welsh Corgi,Ch. Cote de Neige Sundew,Mrs. William B. Long,Working,False
64,1959,Great Dane,Ch. Honey Hollow Stormi Rudio,Cathryn Clarke,Working,False
65,1958,Boxer,Ch. Marjack’s Golden Windjammer,Mr. & Mrs. John P Wagner,Working,False
66,1957,Boxer,Ch. Barrage of Quality Hill,Mr. & Mrs. Jouett Shouse,Working,False
67,1956,Boxer,Ch. Baroque of Quality Hill,Mr. & Mrs. John P.Wagner,Working,False
68,1955,Boxer,Barrage of Quality Hill,"Mr. & Mrs. M. E. Greiner, Jr.",Working,False
69,1954,Boxer,Ch. Spark Plug,Larry Downey,Working,False
70,1953,Doberman Pinscher,Ch. Rancho Dobe’s Storm,Len Carey,Working,True
71,1952,Doberman Pinscher,Ch. Rancho Dobe’s Storm,Len Carey,Working,True
72,1951,Boxer,Ch. Bang Away of Sirrah Crest,Dr. & Mrs R. C. Harris,Working,True
73,1950,German Shepherd,Ch. Quell vam Fredeholz,Anton B. Korbel & Howard Newman,Working,False
74,1949,Boxer,Ch. Mazelaine’s Zazarac Brandy,Mr. & Mrs. John P. Wagner,Working,True
75,1948,Doberman Pinscher,Ch. Emperor of Marienland,Meadow Mist Kennels,Working,False
76,1947,Boxer,Ch. Warlord of Mazelaine,"Mr. & Mrs. R. C. Kettles, Jr.",Working,True
77,1946,Boxer,Ch. Warlord of Mazelaine,"Mr. & Mrs. R. C. Kettles, Jr.",Working,False
78,1945,Doberman Pinscher,Ch. Dictatorv. Glenhugel,Capt. & Mrs Bob Adamson,Working,False
79,1944,Boxer,Warlord of Mazelaine,"Mr. & Mrs. R. C. Kettles, Jr.",Working,False
80,1943,Shetland Sheepdog,Ch. Windrush O’Page’s Hill,Mrs. Wm. W. Gallagher,Working,False
81,1942,Old English Sheepdog,Ch. Merriedip Master Pantaloons,Mrs. Helen M. Lewis,Working,False
82,1941,Collie (Rough),Ch. Cadet of Noranda,"Mr. & Mrs. Wm. H. Lon,g Jr.",Working,False
83,1940,Boxer,Ch. Utz v.Dom of Mazelaine,John Phelps Wagner,Working,False
84,1939,Doberman Pinscher,Ferry v.Rauhfelsen,Giralda Farms,Working,True
85,1938,Collie,Ch. Hertzville Headstone,C. J. Cassleman,Working,False
86,1937,Boxer,Ch. Dorian v. Marienhof of Mazelaine,John Phelps Wagner,Working,False
87,1936,German Shepherd,Ch. Dewet yon der Starrenburg,Giralda Farms,Working,False
88,1935,Collie,Ch. Bellhaven Black Lucason,Florence B. Ilch,Working,False
89,1934,Old English Sheepdog,Snowflake,Clearbrook Kennels,Working,False
90,1933,Great Dane,Ch. Gunar v. Hollergarten of Walnut Hill,Harkness Edwards,Working,False
91,1932,Old English Sheepdog,Snowman,F. T. James,Working,False
92,1931,Great Dane,Gunar v. Hollergarten of Walnut Hill,Harkness Edwards,Working,False
93,1930,Shepherd Dog,Giralda’s Lola,Giralda Farms,Working,False
94,1929,Collie (Rough),Laund Loyalty of Bellhaven,Florence B Ilch,Working,True
95,1928,Shepherd Dog,Ch. Cito Von Der Marktfeste,Giralda Farms,Working,False
96,1927,Collie (Rough),Southport Blue Knight,Bournbrae Kennels,Working,False
97,1926,Collie (Rough),Laund Hero of Bellhaven,Florence B. Ilch,Working,False
98,1925,Doberman Pinscher,Westphalia Prinsessin Ilisa VD Konigstad,Westphalia Kennels,Working,False
99,1924,Shepherd Dog,Ch. Dolf Von Dusternbrook,Joselle Kennels,Working,False
0,2023,American Staffordshire Terrier,GCHP CH Lbk's Rebel And Proud Party Crasher,Traci Chlan Luisma & Lacey Benitez & Ion Ispas & Jessica Branch,Terrier,False
1,2022,Lakeland Terrier,GCHG CH Hi-Kel Terrydale Nanhall Mizzconceived,Maripi Wooldridge & Jennifer Stevens & Ariel Cukier,Terrier,False
2,2021,West Highland White Terrier,GCHG CH Crystal Boy De La Pomme,Phavida Jaruthavee & Frederic B Askin MD & Fred Melville,Terrier,False
3,2020,Wire Fox Terrier,GCHB. CH Irvonhill Voignier,George & Nannette Herrick,Terrier,False
4,2019,Wire Fox Terrier,GCh. King Arthur Van Foliny Home,Victor Malzoni Jr ,Terrier,True
5,2018,Norfolk Terrier,GCh. Yarrow Venerie Winning Ticket,Victor Malzoni Jr & Nancy Shaw & Pam Beale,Terrier,False
6,2017,Norwich Terrier,GCh. Taliesin Twice As Nice,Lisa Sons,Terrier,False
7,2016,Skye Terrier,GCh. Cragsmoor Good Time Charlie,"Victor Malzoni, Jr. & Cragsmoor Kennels Reg.",Terrier,False
8,2015,Skye Terrier,GCh. Cragsmoor Good Time Charlie,"Victor Malzoni, Jr. & Cragsmoor Kennels Reg.",Terrier,False
9,2014,Wire Fox Terrier,GCh. Afterall Painting The Sky,"Victor Malzoni, Jr. & Torie Steele & S. & M. Olund & D. Ryan",Terrier,True
10,2013,Smooth Fox Terrier,GCh. Slyfox Sneak’s A Peek,J. W. Smith,Terrier,False
11,2012,Kerry Blue Terrier,GCh. Perrisblu Kennislain’s Chelsey,Ed & Lynn Yingling & Phil Davies & Candace Yingling & Brock Yingling,Terrier,False
12,2011,Smooth Fox Terrier,GCh. Slyfox Sneak’s A Peek,J. W. Smith,Terrier,False
13,2010,Scottish Terrier,Ch. Roundtown Mercedes Of Maryscot,Amelia Musser,Terrier,True
14,2009,Scottish Terrier,Ch. Roundtown Mercedes Of Maryscot,Amelia Musser,Terrier,False
15,2008,Sealyham Terrier,Ch. Efbe’s Hidalgo At Goodspice,Margery Good & Richard Good & Sandra Middlebrooks,Terrier,False
16,2007,Dandie Dinmont Terrier,Ch. Hobergays Fineus Fogg,"Dr. Emma Greenway & Jean Heath & Dr. William H. Cosby, Jr.",Terrier,False
17,2006, Bull Terrier (Colored),Ch. Rocky Top’s Sundance Kid,Barbara Bishop & W. F. Poole & N. Shepherd & R. P. Poole,Terrier,True
18,2005,Norfolk Terrier,Ch. Cracknor Cause Celebre,"Pamela Beale, Stephanie Ingram & Elisabeth Matell",Terrier,False
19,2004,Norfolk Terrier,Ch. Cracknor Cause Celebre,"Pamela Beale, Stephanie Ingram & Elisabeth Matell",Terrier,False
20,2003,Kerry Blue Terrier,Ch. Torum’s Scarf Michael,Marilu Hansen,Terrier,True
21,2002,Kerry Blue Terrier,Ch. Torum’s Scarf Michael,Marilu Hansen,Terrier,False
22,2001,Kerry Blue Terrier,Ch. Torum’s Scarf Michael,Marilu Hansen,Terrier,False
23,2000,Bedlington Terrier,Ch. Willow Wind Tenure,Carol C. Greenwald,Terrier,False
24,1999,Welsh Terrier,Ch. Sunspryte’s Just In Thyme,"J. L. Heath, W. H. Cosby, Jr. & B. Bates",Terrier,False
25,1998,Norwich Terrier,Ch. Fairewood Frolic,Sandina Kennels,Terrier,True
26,1997,Wire Fox Terrier,Ch. Random Reaction,W. James & Taffe McFadden,Terrier,False
27,1996,Skye Terrier,Ch. Finnsky Oliver,"E. Z. Zaphiris, M. Stander, K. & M. Sainio",Terrier,False
28,1995,Scottish Terrier,Ch. Gaelforce Post Script,Dr. Joe Kinnarney & Dr. Vandra L. Huber,Terrier,True
29,1994,Norwich Terrier,Ch. Chidley Willum The Conqueror,Ruth L. Cooper & Patricia P. Lussier,Terrier,True
30,1993,Dandie Dinmont,Ch. Pennywise The Butler Did It,Catherine B. Nelson,Terrier,False
31,1992,Wire Fox Terrier,Ch. Registry’s Lonesome Dove,Marion & Samuel Lawrence,Terrier,True
32,1991,Kerry Blue Terrier,Ch. Kerrageen’s Hotspur,Bryan Percy & Judy Hertwill,Terrier,False
33,1990,Wire Fox Terrier,Ch. Saphire Star of Silverbush,Don Brouillette & Andrew Digiorgio,Terrier,False
34,1989,Soft Coated Wheaten Terrier,Ch. Andover Song ‘N Dance Man,Cynthia Vogels & Jacqueline Gottlieb,Terrier,False
35,1988,Cairn Terrier,Ch. Tidewater Master Gold,"Charles P. Merrick, III",Terrier,False
36,1987,Wire Fox Terrier,Ch. Sylair Special Edition,"Jean L. Heath & William H. Cosby, Jr.",Terrier,False
37,1986,Welsh Terrier,Ch. Anasazi Annie Oakley,"J. L. Heath & W. H. Cosby, Jr. & Reglib Kennels",Terrier,False
38,1985,Scottish Terrier,Ch. Braeburn’s Close Encounter,Sonnie & Alan Novick,Terrier,True
39,1984,Scottish Terrier,Ch. Braeburn’s Close Encounter,Sonnie & Alan Novick,Terrier,False
40,1983,Sealyham Terrier,Ch. Snowdon Sneak Preview,Sarah W. Sweatt,Terrier,False
41,1982,Colored Bull Terrier,Ch. Banbury Benson of Bedrock,W.E Mackay-Smith & J & M Remer,Terrier,False
42,1981,Smooth Fox Terrier,Ch. Ttarb the Brat,Dr. J. Van Zandt & Ed Dalton,Terrier,False
43,1980,Lakeland Terrier,Ch. Cozy’s Mischief Maker,Miss Sachiko Takada,Terrier,False
44,1979,Lakeland Terrier,Ch. Cozy’s Mischief Maker,"Crag Crest Kennels, Reg.",Terrier,False
45,1978,Wire Fox Terrier,Ch. Sunnybrook Spot-On,"Mrs. Robert V. Clark, Jr.",Terrier,False
46,1977,Sealyham Terrier,Ch. Dersade Bobby’s Girl,Pool Forge Kennels,Terrier,True
47,1976,Lakeland Terrier,Ch. Jo-Ni’s Red Baron of Crofton,Mrs. Virginia K. Dickson,Terrier,True
48,1975,West Highland White Terrier,Ch. Ardenrun Andsome of Purston,Dr. Alcaro T. Hunt,Terrier,False
49,1974,Wire Fox Terrier,Ch. Sunnybrook Spot On,"Mrs. Robert V. Clark, Jr.",Terrier,False
50,1973,Wire Fox Terrier,Ch. Littleway Haranwal Barrister,Jane Esther Henderson,Terrier,False
51,1972,Skye Terrier,Ch. Glamoor Gang Buster,Walter F. Goodman & Mrs. Adele Goodman,Terrier,False
52,1971,Kerry Blue Terrier,Ch. O’Connell of Kerry Oaks,Florence Coe,Terrier,False
53,1970,Wire Fox Terrier,Ch. Holmwire Tudor Reliants,Steve Farber,Terrier,False
54,1969,Skye Terrier,Ch. Glamoor Good News,Walter F. Goodman & Mrs. Adele Goodman,Terrier,True
55,1968,Lakeland Terrier,Ch. Stingray of Derryabah,"Mr. & Mrs. James A. Farrell, Jr.",Terrier,True
56,1967,Scottish Terrier,Ch. Bardene Bingo,E. H. Stuart,Terrier,True
57,1966,Wire Fox Terrier,Ch. Zeloy Mooremaides Magic,Marion G. Bunker,Terrier,True
58,1965,Scottish Terrier,Ch. Carmichaels Fanfare,Mr. & Mrs. Charles C. Stalter,Terrier,True
59,1964,Sealyham Terrier,Ch. Alcide of Axe,Pool Forge Kennels,Terrier,False
60,1963,Airedale Terrier,Ch. Querencia’s Suorte Brava,Ercilia E. Le Ny,Terrier,False
61,1962,West Highland White Terrier,Ch. Elfinbrook Simon,Wishing Well Kennels,Terrier,True
62,1961,Scottish Terrier,Ch. Blanart Bewitching,Blanche E. Reeg,Terrier,False
63,1960,Scottish Terrier,Ch. Blanart Bewitching,Blanche E. Reeg,Terrier,False
64,1959,Welsh Terrier,Strathglass Trim Maid,Strathglass Kennels,Terrier,False
65,1958,Wire Fox Terrier,Empire Sensational,Mrs. Munro W. Lanier,Terrier,False
66,1957,Airedale Terrier,Westhay Fiona of Harham,Harold M. Florsheim,Terrier,False
67,1956,Sealyham Terrier,Ch. Robin Hill Brigade,Mrs. Robert E. Choate,Terrier,False
68,1955,Sealyham Terrier,Ch. Robin Hill Brigade,Mrs. Robert E. Choate,Terrier,False
69,1954,Kerry Blue Terrier,Ch. Miss Showoff of Cognewaugh,Mrs. E. Eileen McEachren,Terrier,False
70,1953,Skye Terrier,Ch. Merrymount You’ll Do of Iradell,lradell Kennels,Terrier,False
71,1952,Welsh Terrier,Ch. Strathglass Venture’s Lucifer,Hugh J. Chisholm,Terrier,False
72,1951,Wire Fox Terrier,Foxbank Entertainer of Harham,Mrs. Harold M. Florsheim,Terrier,False
73,1950,Scottish Terrier,Ch. Walsing Winning Trick of Edgerstoune,Mrs. John G. Winant,Terrier,True
74,1949,Welsh Terrier,Ch. Twin Ponds Belle,Mrs. Edward P. Alker,Terrier,False
75,1948,Bedlington Terrier,Ch. Rock Ridge Night Rocket,Mr. & Mrs. William A. Rockefeller,Terrier,True
76,1947,Miniature Schnauzer,Dorem Display,Mr. & Mrs. Phil Meldon,Terrier,False
77,1946,Wire Fox Terrier,Ch. Hetherington Model Rhythm,"Mr. & Mrs. T. H. Carruthers, III",Terrier,True
78,1945,Scottish Terrier,Shieling’s Signature,Mr. & Mrs. T. H. Snethen,Terrier,True
79,1944,Welsh Terrier,Ch. Flornell Rare Bit of Twin Ponds,Mrs. Edward P. Alker,Terrier,True
80,1943,Wire Fox Terrier,Ch. Glynhir Gladly,W. L. Lewis,Terrier,False
81,1942,West Highland White Terrier,Ch. Wolvey Pattern of Edgerstoune,Mrs. John G. Winant,Terrier,True
82,1941,Kerry Blue Terrier,Buskin of Kenmore,James M. Austin,Terrier,False
83,1940,Smooth Fox Terrier,Ch. Nornay Saddler,Wissaboo Kennels,Terrier,False
84,1939,Smooth Fox Terrier,Ch. Nornay Saddler,Wissaboo Kennels,Terrier,False
85,1938,Wire Fox Terrier,Ch. Flornell Spicypiece of Halleston,Halleston Kennels,Terrier,False
86,1937,Wire Fox Terrier,Flornell Spicypiece of Halleston,Halleston Kennels,Terrier,True
87,1936,Sealyham Terrier,Ch. St Margaret Magnificent of Clairedale,Clairedale Kennels,Terrier,True
88,1935,Sealyham Terrier,Ch. Ginside Babs of Hollybourne,Hollybourne Kennels,Terrier,False
89,1934,Wire Fox Terrier,Flornell Spicy Bit of Halleston,Halleston Kennels,Terrier,True
90,1933,Airedale Terrier,Warland Protector of Shelterock,S. M. Stewart,Terrier,True
91,1932,Scottish Terrier,Heather Reveller of Sporran,S. S. Van Dine,Terrier,False
92,1931,Wire Fox Terrier,Ch. Pendley Calling of Blarney,John G. Bates,Terrier,True
93,1930,Wire Fox Terrier,Pendley Calling of Blarney,John G. Bates,Terrier,True
94,1929,Wire Fox Terrier,Eden Aristocrat of Wildoaks,Mr. & Mrs. R. C. Bondy,Terrier,False
95,1928,Wire Fox Terrier,Ch. Talavera Margaret,Reginald Lewis,Terrier,True
96,1927,Sealyham Terrier,Ch. Pinegrade Perfection,Frederic C. Brown,Terrier,True
97,1926,Wire Fox Terrier,Ch. Signal Circuit of Halleston,Mr. & Mrs. Stanley J. Halle,Terrier,True
98,1925,Airedale Terrier,War Bride of Davishill,Davishill Kennels,Terrier,False
99,1924,Sealyham Terrier,Ch. Barberryhill Bootlegger,Bayard Warren,Terrier,True
0,2023,Pekingese,GCH CH Pequest Rum Dum,David Fitzpatrick,Toy,False
1,2022,Maltese,GCHB Ta-Jon's Walk Of Fame,Dragica Hunter & Tammy Simon,Toy,False
2,2021,Pekingese,GCHG Pequest Wasabi,Sandra Middlebrooks & Peggy Steinman & Iris Love & D Fitzpatrick,Toy,True
3,2020,Havanese,GCh. Oeste's In The Name Of Love,Mary E King & Rafe H Schindler & Julie Vogel & Taffe McFadden,Toy,False
4,2019,Havanese,GCh. Oeste's In The Name Of Love,Mary E King & Rafe H Schindler & Julie Vogel & Taffe McFadden,Toy,False
5,2018,Pug,GCh. Hill Country’s Puttin’ On The Ritz,Carolyn Koch,Toy,False
6,2017,Pekingese,GCh. Pequest Pickwick,Nancy H. Shapland & David Fitzpatrick,Toy,False
7,2016,Shih Tzu,GCh. Wenrick’s Don’t Stop Believing,Sharon Bilicich & Jody Garcini,Toy,False
8,2015,Shih Tzu,GCh. Hallmark Jolei Rocket Power,Patricia Hearst Shaw & Luke & Diane Ehricht,Toy,False
9,2014,Miniature Pinscher,GCh. Marlex Classic Red Glare,Leah Monte & Armando Angelbello,Toy,False
10,2013,Affenpinscher,GCh. Banana Joe V Tani Kazari,Zoila Truesdale & Mieke Cooymans,Toy,True
11,2012,Pekingese,GCh. Palacegarden Malachy,Iris Love & S. Middlebrooks & D. Fitzpatrick,Toy,True
12,2011,Pekingese,GCh. Palacegarden Malachy,Iris Love & S. Middlebrooks & D. Fitzpatrick,Toy,False
13,2010,Poodle (Toy),Ch. Smash Jp Moon Walk,Ron Scott & Debbie Burke,Toy,False
14,2009,Brussels Griffon,Ch. Cilleine Masquerade,M. & E. Gregory & A. & H. Jahlelka,Toy,False
15,2008,Poodle (Toy),Ch. Smash Jp Win A Victory,Ron Scott,Toy,False
16,2007,Poodle (Toy),Ch. Smash Jp Win A Victory,Ron Scott,Toy,False
17,2006,Pug,Ch. Kendoric’s Riversong Mulroney,Carolyn Koch,Toy,False
18,2005,Pekingese,Ch. Yakee If Only,Kit Woodruff,Toy,False
19,2004,Pekingese,Ch. Yakee Leaving Me Breathless At Franshaw,John Shaw & Maria Francis,Toy,False
20,2003,Pekingese,Ch. Yakee Leaving Me Breathless At Franshaw,John Shaw & Maria Francis,Toy,False
21,2002,Affenpinscher,Ch. Yarrow’s Super Nova,Dr. & Mrs. William Truesdale,Toy,False
22,2001,Shih Tzu,Ch. Charing Cross Ragtime Cowboy,Gilbert S. Kahn,Toy,False
23,2000,Shih Tzu,Ch. Charing Cross Ragtime Cowboy,Gilbert S. Kahn,Toy,False
24,1999,Papillon,Ch. Loteki Supernatural Being,John Oulton,Toy,True
25,1998,Poodle (Toy),Ch. Dignity Of Jewelry House Yoko,Kaz Hosaka & Yoko Kamiya,Toy,False
26,1997,Japanese Chin,Ch. Briarhill Rock and Roll,Diane L. Meyer & Geraldine B. Craddock,Toy,False
27,1996,Papillon,Ch. Loteki Supernatural Being,John Oulton & Lou Ann King,Toy,False
28,1995,Poodle (Toy),Ch. MVP of Ahs,"H. Euda, E. Yoshida, G. Wittmeier & N. Patton",Toy,False
29,1994,Pekingese,Ch. Briarcourt’s Damien Gable,Nancy H. Shapland,Toy,False
30,1993,Pekingese,Ch. Briarcourt’s Damien Gable,Nancy H. Shapland,Toy,False
31,1992,Maltese,Ch. Sand Island Small Kraft Lite,Carol Frances Andersen,Toy,False
32,1991,Poodle (Toy),Ch. Trebor of Ahs Capital Gains,Gary Wittmeier,Toy,False
33,1990,Pekingese,Ch. Wendessa Crown Prince,Edward B. Jenner,Toy,True
34,1989,Pug,Ch. Rowell’s Solo Moon Rising,"Linda & John Rowell, Jr.",Toy,False
35,1988,Pomeranian,Ch. Great Elms Prince Charming II,Skip Piazza & Oga Baker,Toy,True
36,1987,Pekingese,Ch. Briarcourt’s Coral Gable,William Mackay,Toy,False
37,1986,Brussels Griffon,Ch. Berryhill Gandalf,"Mrs. A.R. Howard, Jr. & Cindy Reed",Toy,False
38,1985,Poodle (Toy),Ch. Fairview’s No Nonsence,Joan R. Hartsock,Toy,False
39,1984,Chihuahua (Smooth),Ch. Quachitah For Your Eyes Only,Linda George,Toy,False
40,1983,Shih Tzu,Ch. Lou Wan Rebel Yell,Lou & Wanda Goc,Toy,False
41,1982,Pekingese,Ch. St Aubrey Dragonora of Elsdon,Ann Snelling,Toy,True
42,1981,Pug,Ch. Dhandys Favorite Woodchuck,Robert A. Hauslohnerq,Toy,True
43,1980,Pug,Ch. Ivanwold Senator Sam,"Mrs. Robert V. Clark, Jr.",Toy,False
44,1979,Pomeranian,Ch. Lennis’s Tar Lacy Foxfire,Edward B. Jenner,Toy,False
45,1978,Yorkshire Terrier,Ch. Cede Higgens,B. A. & C. W. Switzer,Toy,True
46,1977,Pug,Ch. Scullin’s Saucy Samson,J. H. Henderson & B. E. Hilton,Toy,False
47,1976,Pekingese,Ch. Yang Kee Bernard,"Mrs. Walter M. Jeffords, Jr. & Michael Wolf",Toy,False
48,1975,Miniature Pinscher,Ch. Jay Mac’s Impossible Dream,Dorothy De Maria,Toy,False
49,1974,Poodle (Toy),Ch. Peeples Sahara,Robert A. Koeppel,Toy,False
50,1973,Maltese,Ch. Joanne-Chen’s Maya Dancer,Mamie R. Gregory,Toy,False
51,1972,Maltese,Ch. Joanne-Chen’s Maya Dancer,Mamie R. Gregory,Toy,False
52,1971,Pomeranian,Ch. Duke’s Lil Red Baron O’Kala,Mrs. Joyce Graves,Toy,False
53,1970,Pekingese,Ch. Beaupre’s Toms Joy Len Chim,Constance C Sherman,Toy,False
54,1969,Manchester Terrier (Toy),Ch. Renreh Lorelei of Charmara,Marie E. & Charles A. T. O’Neill,Toy,False
55,1968,Pekingese,Ch. Dan Lee Dragonseed,John D. Brown,Toy,False
56,1967,Pomeranian,Ch. Leader’s Little Buck-a-Roo,Ina F. Kniffin,Toy,False
57,1966,Maltese,Ch. Aennchen’s Poona Dancer,F. E. Oberstar & L. G. Ward,Toy,False
58,1965,Italian Greyhound,Ch. Flaminia of Alpine,Louis F. Russo,Toy,False
59,1964,Maltese,Ch. Co-Ca-He’s Aennchen Toy Dancer,Anne Maria Stimmler,Toy,False
60,1963,Miniature Pinscher,Ch. Rebel Rod’s Casanova Von Kurt,"E. W. Tipton, Jr.",Toy,False
61,1962,Pomeranian,Ch. Pixietown Seranade of Hadleigh,Ruth Belleck & Lady Florence Conyers,Toy,False
62,1961,Poodle (Toy),Ch. Cappoquin Little Sister,Florence Michelson,Toy,True
63,1960,Pekingese,Ch. Chik T’Sun of Caversham,Mr. & Mrs. C. C. Venable,Toy,True
64,1959,Pekingese,Ch. Chik T’Sun of Caversham,Mr. & Mrs. C. C. Venable,Toy,False
65,1958,Pug,Ch. Pugholm’s Peter Pumpkin Eater,Frederic & Elizabeth Soderberg,Toy,False
66,1957,Pekingese,Ch. Chik T’Sun of Caversham,Mr. & Mrs. C. C. Venable,Toy,False
67,1956,Poodle (Toy),Ch. Wilber White Swan,Bertha Smith,Toy,True
68,1955,Yorkshire Terrier,Ch. Star Twilight of Clu-Mor,"Mrs. L. S. Gordon, Jr. & Janet Bennett",Toy,False
69,1954,Yorkshire Terrier,Ch. Star Twilight of Clu-Mor,"Mrs. L. S. Gordon, Jr. & Janet Bennett",Toy,False
70,1953,Pug,Ch. Pugville’s Mighty Jim,Pugville Kennels,Toy,False
71,1952,Brussels Griffon,Ch. All Celia’s Beau Brumml,Iris de la Torre Bueno,Toy,False
72,1951,Poodle (Toy),Ch. Cartlane Once,Mrs. Charles R. Fleishman,Toy,False
73,1950,Poodle (Toy),Ch. Cartlane Once,Mrs. Charles R. Fleishman,Toy,False
74,1949,Miniature Pinscher,Ch. Rajah v Siegenburg,Mrs. William O. Bagshaw,Toy,False
75,1948,Pomeranian,Pomwin Doreen,Mrs. Blossom M. Sandy,Toy,False
76,1947,Pomeranian,Ch. Little Tim Stepper,Mrs. V. Matta,Toy,False
77,1946,Pekingese,Ch. Jai Son Fu of Orchard Hill,Mrs. Richard S. Quigley,Toy,False
78,1945,Pug,Ch. Udalia’s Mei-Ling,Dorothy F. Wagstaff,Toy,False
79,1944,Yorkshire Terrier,Ch. Millbarry’s Sho-Show,Vera Zorina,Toy,False
80,1943,Pekingese,Beh Tang,Dorothy P Lathrop,Toy,False
81,1942,Pomeranian,Ch. Moneybox Currency,Mrs. V. Matta,Toy,False
82,1941,Miniature Pinscher,Ch. King Eric v Konigsbach,Wm. O. Bagshaw,Toy,False
83,1940,Brussels Griffon,Ch. Burlingame Hellzapoppin,Rosalind Layte,Toy,False
84,1939,Yorkshire Terrier,Ch. Miss Wynsum,Arthur Mills,Toy,False
85,1938,Pekingese,Kai Lo of Dah Lyn,John B. Royce,Toy,False
86,1937,Pekingese,Tang Hao of Caversham Catawba,Mrs. James W. Austin,Toy,False
87,1936,Pomeranian,Ch. Salisburgy Sensation,Mrs. Andres W. Rose,Toy,False
88,1935,Pomeranian,Wonder Son,Miss E. G. Hydon,Toy,False
89,1934,Pekingese,Wee Foo of Kingswere,Mrs. Ralph Boalt,Toy,False
90,1933,Pekingese,Pierrot of Hartleburg,Mrs. Richard S. Quigley,Toy,False
91,1932,Japanese Spaniel,Ch. KeurvannaTiti,Keurvanna Kennels,Toy,False
92,1931,Pomeranian,Sealand Career,Radiant Kennels,Toy,False
93,1930,Pekingese,Fuchow Paladin of Alderbourne,Ray M. Cushman,Toy,False
94,1929,Pekingese,Ch. King Pippin of Greystones,Mrs. C. Hager,Toy,False
95,1928,Pomeranian,Ch. Bogota Firebug,Miss E. G. Hydon,Toy,False
96,1927,Pomeranian,Ch. Little Rajah,Mrs. V. Matta,Toy,False
97,1926,Pomeranian,Glen Rose Flashaway,Joseph Greenwood,Toy,False
98,1925,Brussels Griffon,Sunny Mede Petite Poilu,Mrs. William H. Goff,Toy,False
99,1924,Pekingese,Ch. Glen Iris Dai Dream,Mrs. Sidney Franc,Toy,False
0,2023,French Bulldog,GCHP CH Fox Canyon's I Won the War at Goldshield CGCA CGCU TKN,Sandy Fox & Alex Vorbeck & Alex Geremia & Felicia Cashin & M Fox & P Payson,Non-Sporting,False
1,2022,French Bulldog,GCHP CH Fox Canyon's I Won the War at Goldshield CGCA CGCU TKN,Sandy Fox & Morgan Fox & Perry Payson & Alexandra Vorbeck,Non-Sporting,False
2,2021,French Bulldog,GCHP CH Chaselands Mathew Moss,Nancy Shaw & Chad Howard,Non-Sporting,False
3,2020,Standard Poodle,GCHP CH Stone Run Afternoon Tea,Connie S Unger & William Lee,Non-Sporting,True
4,2019,Schipperke,GCh. Rivendel's Barefoot Bandit,S Middlebrooks & W & T Truesdale & A Halterman,Non-Sporting,False
5,2018,Bichon Frise,GCh. Belle Creek’s All I Care About Is Love,Patrina & Bruce Odette & Lindsay Van Keuren & Lorrie Carlton & Larry Letsche DVM,Non-Sporting,True
6,2017,Poodle (Miniature),GCh. Danfour Avalon As If,Daniel Chavez & James Moses & Janet Moses,Non-Sporting,False
7,2016,Bulldog,GCh. Imperious Hamitup Southern Bell,Ellen Charles & Imperious & Hamitup & Hetherbull,Non-Sporting,False
8,2015,Poodle (Standard),GCh. Dawin Hearts On Fire,Linda C. Campbell,Non-Sporting,False
9,2014,Poodle (Standard),GCh. Brighton Lakeridge Encore,Toni Sosnoff & Martin Sosnoff,Non-Sporting,False
10,2013,Bichon Frise,GCh. Vogelflight’s Honor To Pillowtalk,E. M. Charles & M. & P. Abbott & Lori Kornfeld & Mary & Kathie Vogel,Non-Sporting,False
11,2012,Dalmatian,GCh. Spotlights Ruffian,Jim Lyons & Barbara Lyons,Non-Sporting,False
12,2011,Chinese Shar-Pei,GCh. Vaje’s Miss Jayne Hathaway,Jeff Mauk & Vicki Mauk,Non-Sporting,False
13,2010,French Bulldog,Ch. Robobull Fabelhaft Im On Fire,Marion Hulick & S. St John & James Dalton,Non-Sporting,False
14,2009,Poodle (Standard),Ch. Randenn Tristar Affirmation,Toni Sosnoff & Martin Sosnoff,Non-Sporting,False
15,2008,Poodle (Standard),Ch. Brighton Minimoto,Cindy Coggin & Don Rochow & Zuleika Borges Torrealba,Non-Sporting,False
16,2007,Poodle (Standard),Ch. Brighton Minimoto,Cindy Coggin & Don Rochow & Zuleika Borges Torrealba,Non-Sporting,False
17,2006,Dalmatian,Ch. Merry Go Round Mach Ten,Dick Stark & Linda Stark,Non-Sporting,False
18,2005,Tibetan Terrier,Ch. Kimik’s Bare Necessities,Mikki DeMers & Sheryl Rutledge Schultis,Non-Sporting,False
19,2004,Poodle (Standard),Ch. Ale Kai Mikimoto On Fifth,Karen LeFrak & Wendell J. Sammet,Non-Sporting,False
20,2003,Poodle (Standard),Ch. Ale Kai Mikimoto On Fifth,Karen LeFrak & Wendell J. Sammet,Non-Sporting,False
