,year,breed,dog,owner(s),group,BIS
31,1992,Bouvier Des Flandres,Ch. Galbraith’s Iron Eyes,Mr. & Mrs. N.J. Reese,Herding,False
32,1991,Old English Sheepdog,Ch. Lambluv Moptop Show Stopper,Jere Marder,Herding,False
33,1990,Shetland Sheepdog,Ch. Marwal Steppin’Out,Diane Bostwick,Herding,False
34,1989,Puli,Ch. Wallbanger Kermit J Bounce,J. & M. McNeill & A. Bowley,Herding,False
35,1988,Shetland Sheepdog,Ch. Rockwoods Gold Strike,Barbara M. Kenealy,Herding,False
36,1987,German Shepherd Dog,Ch. Covy Tucker Hill’s Manhattan,Shirlee Braunstein & Jane A. Firestone,Herding,True
37,1986,German Shepherd Dog,Ch. Covy Tucker Hill’s Manhattan,Shirlee Braunstein & Jane A. Firestone,Herding,False
38,1985,Shetland Sheepdog,Ch. Rhodan’s The Windwalker,Kathleen Schmutz,Herding,False
39,1984,German Shepherd Dog,Ch. Covy Tucker Hill’s Manhattan,Shirlee Braunstein & Jane A. Firestone,Herding,False
40,1983,Belgian Tervuren,Ch. Corsairs Beaujangles,Steve Sorenson,Herding,False
41,1982,None,None,None,Herding,False
42,1981,None,None,None,Herding,False
43,1980,None,None,None,Herding,False
44,1979,None,None,None,Herding,False
45,1978,None,None,None,Herding,False
46,1977,None,None,None,Herding,False
47,1976,None,None,None,Herding,False
48,1975,None,None,None,Herding,False
49,1974,None,None,None,Herding,False
50,1973,None,None,None,Herding,False
51,1972,None,None,None,Herding,False
52,1971,None,None,None,Herding,False
53,1970,None,None,None,Herding,False
54,1969,None,None,None,Herding,False
55,1968,None,None,None,Herding,False
56,1967,None,None,None,Herding,False
57,1966,None,None,None,Herding,False
58,1965,None,None,None,Herding,False
59,1964,None,None,None,Herding,False
60,1963,None,None,None,Herding,False
61,1962,None,None,None,Herding,False
62,1961,None,None,None,Herding,False
63,1960,None,None,None,Herding,False
64,1959,None,None,None,Herding,False
65,1958,None,None,None,Herding,False
66,1957,None,None,None,Herding,False
67,1956,None,None,None,Herding,False
68,1955,None,None,None,Herding,False
69,1954,None,None,None,Herding,False
70,1953,None,None,None,Herding,False
71,1952,None,None,None,Herding,False
72,1951,None,None,None,Herding,False
73,1950,None,None,None,Herding,False
74,1949,None,None,None,Herding,False
75,1948,None,None,None,Herding,False
76,1947,None,None,None,Herding,False
77,1946,None,None,None,Herding,False
78,1945,None,None,None,Herding,False
79,1944,None,None,None,Herding,False
80,1943,None,None,None,Herding,False
81,1942,None,None,None,Herding,False
82,1941,None,None,None,Herding,False
83,1940,None,None,None,Herding,False
84,1939,None,None,None,Herding,False
85,1938,None,None,None,Herding,False
86,1937,None,None,None,Herding,False
87,1936,None,None,None,Herding,False
88,1935,None,None,None,Herding,False
89,1934,None,None,None,Herding,False
90,1933,None,None,None,Herding,False
91,1932,None,None,None,Herding,False
92,1931,None,None,None,Herding,False
93,1930,None,None,None,Herding,False
94,1929,None,None,None,Herding,False
95,1928,None,None,None,Herding,False
96,1927,None,None,None,Herding,False
97,1926,None,None,None,Herding,False
98,1925,None,None,None,Herding,False
99,1924,None,None,None,Herding,False
